Audio Path                                                                                    , Gốc (Reference)                                                         , Máy đoán (Prediction)
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R106.wav, trở nên thụ động                                                        , trở nên thụ động
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R122.wav, cũng khiến cho họ dè dặt                                                , cũng khiến cho họ dề giặt
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R130.wav, chị gặn hỏi anh thề sống thề chết là không có                           , chị giặn hỏi anh thề sống thề chết là không có
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R132.wav, điện thoại reng nhưng ta cũng phải nhấc máy đúng không                  , điện thải len dên ta cũng phải nhắt máy đúng không
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R135.wav, cũng thuộc loại dày đặc nhất trong hệ mặt trời                          , cũng thuộc lại dày đặt nhất trong hệ mặt trời
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R137.wav, các vụ tham nhũng và bê bối kinh tế                                     , các vụ tham nhũng và bê bối kinh tế
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R149.wav, chúng cứ cố lùi lại mặc dù vướng víu gông xiềng                         , chúng cứ cố lồi lại mặc dù vướng phía gông xiền
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R154.wav, bọn buôn dự án chạy chọt bày ra các dự án để kiếm chác                  , bọt buôn dự án chạy chọt bày ra cái dự án để kiếm chét
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R015.wav, tất cả mọi thứ đều kỳ lạ một cách phi thường                            , tất cả mọi thứ đều kỳ lại một cắc phi thường
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R164.wav, các chương trình ca nhạc phần lớn đều không đột phá                     , các chương trình ca nhạc phần lớn đều không đột phé
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R170.wav, rồi chạy sang gõ cửa phòng ba le hai dấm dúi                            , rồi chạy sang gỏ cửa phòng ba lên hai dấm duối
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R173.wav, để trả trở lại đại dương                                                , để trả trở lại tại dương
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R181.wav, nàng có đôi mắt to sâu và vầng trán rộng mênh mông                      , nàng có đôi mắt to sau và bình thán giọcg minh mong
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R192.wav, tôi tự hỏi phải chăng đó là do dan còn quá trẻ                          , tôi tự hỏi phải tranh tói là do giang còn quá trẻ
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R195.wav, ủy ban châu âu kêu gọi những quốc gia phát triển còn lại                , ủy ban châu âu kêu gọi những quốc gia phát triển cọi lại
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R200.wav, và khi chúng ta sao nhãng công việc của mình                            , vạt khi chúng ta sa nhãng công việc của mình
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R027.wav, có thể lành lặn mà không để lại vết sẹo                                 , có thể làm lặng mà không để lại vếi xẹo
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R031.wav, muốn đẹp phải ghè làm sao cho các bó cơ chân nổi bật lên                , muốn đẹp phải gìa làm sao cho các bó cơi trên nổi bật lên
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R032.wav, y tế bình hưng hòa bị hư hỏng                                           , y tế bình hưng hòa bị hư hỏng
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R045.wav, cô cứ nhè ngay cái nọng cá trê                                          , cô cứ nhè cái nọcg cái chê
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R005.wav, nếu tưởng tượng bảy tám năm nữa                                         , nếu tưởng tượng bảy tám năm nữa
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R067.wav, ông chủ tịch tuyên bố như thế nào                                       , ông chủ tịch tuyên bố như thế nào
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R068.wav, khiến hai cha con cậu                                                   , khiến hai cha con cậu
C:\Users\HIEU\OneDrive - VNU-HCMUS\Desktop\STT\vivos\test\waves\VIVOSDEV02\VIVOSDEV02_R069.wav, làm đẹp không đúng cách                                                 , làm đẹp không túm các
