Gốc (Reference)                                                         , Máy đoán (Prediction)
trở nên thụ động                                                        , chỡ nên thủ động
cũng khiến cho họ dè dặt                                                , cũng khuấn cho họ giề giả giả giả giả giả
chị gặn hỏi anh thề sống thề chết là không có                           , chị giảng hỏi anh thề sống thể chế là không có
điện thoại reng nhưng ta cũng phải nhấc máy đúng không                  , tiện thể lan nhân ta cũng phải nhất máy túng không
cũng thuộc loại dày đặc nhất trong hệ mặt trời                          , cũng thuột lại dày đặc nhất chong hệ mặt chời
các vụ tham nhũng và bê bối kinh tế                                     , các vụt tham nhổng và b bối kinh tớ
chúng cứ cố lùi lại mặc dù vướng víu gông xiềng                         , chúng cứ cố lồi lồi lại mặt dồa vướng puyểu gông chuyền
bọn buôn dự án chạy chọt bày ra các dự án để kiếm chác                  , bọt buôn dự á chạy chợt bày ra các dự á để kiếm chét
tất cả mọi thứ đều kỳ lạ một cách phi thường                            , đất cả mọi thứ đều kỳ gả một các phi thường
các chương trình ca nhạc phần lớn đều không đột phá                     , các chuyến trình ca nhạch thuỳnh lớn đều không đột hế
rồi chạy sang gõ cửa phòng ba le hai dấm dúi                            , rồi chảy sang gọ cửa phòng ba lên hai giấm duoi
để trả trở lại đại dương                                                , để trả trở lại ải dương
nàng có đôi mắt to sâu và vầng trán rộng mênh mông                      , này coi tôi mắt đoa sau và bệnh trán rọc minh mong
tôi tự hỏi phải chăng đó là do dan còn quá trẻ                          , đới đự hỏi phải tranh đó là do gian còn quá chỉ
ủy ban châu âu kêu gọi những quốc gia phát triển còn lại                , uy ba chau ôc kê gọi nhỏn quyễn giá phát chuyển cợ lại
và khi chúng ta sao nhãng công việc của mình                            , vỡ khi chúm ta sau nhảng cốn vịa của mỹnh
có thể lành lặn mà không để lại vết sẹo                                 , giao thể là lạng mà không để lại vớt sẽo
muốn đẹp phải ghè làm sao cho các bó cơ chân nổi bật lên                , muốt đẹ phải dề làm trao cho các bó cơi trên nổi bặc lên
y tế bình hưng hòa bị hư hỏng                                           , yêt đế bịn hưng hồa bị hư họng
cô cứ nhè ngay cái nọng cá trê                                          , có cứa nhè các nộng cá chề
nếu tưởng tượng bảy tám năm nữa                                         , nếu tựa tựa bảy đám năm nửa
ông chủ tịch tuyên bố như thế nào                                       , ông chủ tịch điên bố như thế nào
khiến hai cha con cậu                                                   , khiến hai cha con cậu
làm đẹp không đúng cách                                                 , nam đạt không túng các
mỗi khi xe rác đi ngang qua đánh kẻng mới đem ra đổ                     , mỗi khi xe lá ti nghe qua tấn kẻ mới đem la đỗ
thay vì bốn giờ như trước đây                                           , thay vì bốn giờ như trước đây
hầu hết nang này có nguồn gốc từ gân cơ chân ngỗng                      , hầu hếp tra này có nguồn gấp tự gân cơ chân ngổng
tiếng mã tấu sắc lạnh chạm nhau và cả tiếng rên rỉ                      , tuyến mả đấu sắt lặng chạm nhau và cả tuyến rên gỹ
có hẳn một loạt bài viết chuyên đề về quản trị thương hiệu              , có hẳn một lạp bài viết chuyên đề về quán chỉ thương hiệu
hợp với hương vị đầu xuân                                               , họp với hưm vị đầu sân
ổng nói ở sài gòn ổng đã làm ông hội đồng như thế nào                   , o'm nói ả sậy gồn ẩm đã làm ông hội đồng như thế nào
bà quảng vẫn đang bận rộn                                               , ba quảng vỿn đang vện rồn
mày dám chơi vợ tao tao phải giết mày                                   , mày giám chơi về tao ta chỉ giết mày
tống cổ hắn đi không được để hắn vào đây nữa                            , đóng cổ hánh đi không được để hán và đây nữa
hắn chơi vợ anh thì sao anh không chơi vợ hắn                           , hánh chay với anh thì chau ăn không chay với anh
tháng trước chồng về mấy ngày mình nằm ngủ thấy ấm kinh khủng           , tháng trước chồm về mấy ngày mề nằm ngủ thấy ấm quyên khủng
cho em góp một viên gạch                                                , cho em góp một viên gạc
đi kiểm tra lại bác sĩ khuyên nên mổ nội soi                            , đi kiểm tra lạc bác sĩ khuyên nêm mổ nổi soi
hôm nay em có tới năm khách                                             , hom nay em có tới nắm khác
anh bị đẩy từ hà nội vào sài gòn                                        , ăn bị đấy từ thà nội và sại gòn
phù hợp cho mọi cân nặng                                                , phu hợp trong oải cân nặng
âm thầm chắt chiu nuôi tôi khôn lớn                                     , âm hầm chất chiêu nuôi tôi khôn lớn
vì bạn có thể lảy cò từng phát một                                      , về bạn có thể lấy cò từng phát một
vai trò của chế độ dinh dưỡng                                           , vai trò của chế độ dinh dưỡng
không hiểu sao                                                          , không hiểu sau
khiến phụ huynh hiểu nhầm                                               , khiến phủ huynh hiểu ngầm
mỗi khi cơn gió đến                                                     , mỗi khi cơn giố đến
này bón cho con thương đỡ yếu đau còi cọc                               , này bón cho công thương đỡ yếu đau coi cộc
trong tư thế phi ngựa chồm lên                                          , trong tư thế phi ngửa chồm lên
mà cũng đầy thanh khiết                                                 , mà cũng đầy thanh khít
một vụ chập điện đã khiến ngọn lửa bùng lên                             , một vụ chọc điện đã khiến ngọn lửa buốn lên
bà con chòm xóm                                                         , bà con trồn sớm
đây là mức lãi suất thấp nhất qua các phiên đấu thầu                    , đấy là mức lại sức thấp nhất qua các phiên đố thầu
dọc hai bên sông ngàn sâu                                               , dọc hai bên song ngạn sau
nhưng oái ăm thay                                                       , nhưng ói âm thai
sau cải cách                                                            , sau cải cách
một kế hoạch tương tự được áp dụng ở anh                                , một kế hoạch tương tự được áp dụng ở anh
